smiles,chembl_id,has_single_amine,amine_type,logP,MW,HDonors,HAcceptors
Cc1ccc([S+]([O-])c2cncc3sc(C(N)=O)cc23)cc1,CHEMBL6320,True,primary,2.8703200000000004,316.40700000000004,1,4
CN(C)c1ncnc2c1ncn2Cc1ccccc1Cl,CHEMBL268846,True,tertiary,2.5940000000000003,287.754,0,4
CC1(C)CC[C@]2(C(=O)N3CCCC3)CC[C@]3(C)C(C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)C2C1,CHEMBL273970,True,tertiary,6.828380000000008,544.7800000000003,0,4
Cn1cc(C2=C(c3cn(CCCCCO)c4ccccc34)C(=O)NC2=O)c2ccccc21,CHEMBL6199,True,secondary,3.8628000000000027,427.50400000000013,2,3
CC(=O)c1ccc2c(ccc3oc([N+](=O)[O-])cc32)c1,CHEMBL269746,True,tertiary,3.6968000000000023,255.22899999999996,0,4
CCCCN(CCCC)CCC(O)c1c2ccccc2nc2ccccc12,CHEMBL7515,True,tertiary,5.713700000000006,364.5330000000001,1,3
CN(C)C1CC2CCC1(C)C2(C)C,CHEMBL268543,True,tertiary,2.7628000000000013,181.32299999999998,0,1
CC[C@]1(c2ccncc2)CC(C)(C)C(=O)NC1=O,CHEMBL269761,True,secondary,1.8020999999999998,246.30999999999995,1,3
O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,CHEMBL268368,True,secondary,3.839200000000001,325.32700000000006,3,2
NS(=O)(=O)c1ccc(C(=O)O)cc1,CHEMBL414,True,primary,0.03219999999999995,201.20299999999997,2,3
Oc1cc(Nc2ccccc2)ncn1,CHEMBL7052,True,secondary,1.9257999999999993,187.202,2,4
O=C(C(=O)N1CCCCC1C(=O)OCCS(=O)(=O)c1ccccc1)c1ccccc1,CHEMBL6699,True,tertiary,2.2675,429.49400000000014,0,6
CC1CN(Cc2ccccc2)C(=O)C1=O,CHEMBL7755,True,tertiary,1.234,203.24099999999996,0,2
Cn1c2c(c3ccccc31)CCNC2,CHEMBL263883,True,secondary,1.8239999999999998,186.25799999999992,1,1
C[C@@H](N)Cc1c2c(c(C(F)(F)F)c3c1OCC3)OCC2.Cl,CHEMBL6452,True,primary,2.8867000000000016,323.742,1,3
CC(=C\c1ccccc1)/C=C1/SC(=S)N(CC(=O)O)C1=O,CHEMBL7537,True,tertiary,2.918700000000001,319.40700000000004,1,4
CCCNC(=O)[C@]12CCC(C)(C)CC1C1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,CHEMBL268391,True,secondary,6.7321800000000085,532.7690000000003,1,4
Nc1nc2ccc(Cl)cc2c2nc(C3CCCO3)nn12,CHEMBL7511,True,primary,2.3645999999999994,289.72599999999994,1,5
N#Cc1ccc(-c2cc(C(N)=O)c(Cl)nn2)cc1Cl,CHEMBL6429,True,primary,2.42098,293.11299999999994,1,4
OC1c2ccc(OCc3ccccc3)cc2CCC1CCN1CCC(c2ccccc2)CC1,CHEMBL7473,True,tertiary,6.131100000000006,441.6150000000003,1,3
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,CHEMBL48,True,secondary,3.7357000000000036,853.918,4,14
O=C(O)c1cn(C2CC2)c2cc(C3CCNCC3)c(F)cc2c1=O,CHEMBL275698,True,secondary,2.6407000000000007,330.35900000000004,2,3
